commonwealth_electoral_division_,commonwealth_electoral_divisio00,state_of_commonwealth_electoral_,abstudy__non_living_allowance_,abstudy__living_allowance_,age_pension,austudy,carer_allowance,carer_allowance__child_hcc_only_,carer_payment,double_orphan_pension,disability_support_pension,family_tax_benefit_a,family_tax_benefit_b,health_care_card,low_income_card,newstart_allowance,parenting_payment_partnered,parenting_payment_single,partner_allowance,pensioner_concession_card,commonwealth_seniors_health_card,sickness_allowance,special_benefit,widow_allowance,wife_pension__age_,wife_pension__dsp_,widow_b_pension,youth_allowance__other_,youth_allowance__student_,youth_allowance__apprentice_
234,Murray,Victoria,129,58,20992,121,5156,155,2203,<20,7788,12475,9906,11092,2455,5048,838,2228,60,35480,2251,44,<20,177,67,90,<20,955,691,66
235,Scullin,Victoria,29,25,15776,284,6503,181,2649,<20,6620,12548,10687,12852,4147,4967,1028,1564,87,28517,1135,64,50,149,116,75,<20,659,2568,69
236,Wannon,Victoria,84,20,19100,160,4275,137,1775,<20,6804,10493,8301,10651,3474,4652,691,1574,97,31749,2254,60,<20,240,60,77,<20,835,839,85
237,Wills,Victoria,<20,38,18762,875,5641,142,2122,<20,5999,8612,7666,12483,4315,5412,793,982,64,29738,1304,43,35,155,111,67,<20,579,3008,59
301,Blair,Queensland,246,93,13803,303,4913,208,2051,<20,8303,14439,12691,11350,1572,5532,967,3308,48,29946,953,57,<20,117,59,110,<20,1397,1009,52
302,Bonner,Queensland,71,57,14189,259,2765,95,858,<20,3745,8134,7112,7197,1845,3056,348,1220,36,21316,1975,30,23,121,30,25,<20,566,1573,35
303,Bowman,Queensland,66,26,16007,221,3614,119,1254,<20,4597,9378,7953,7375,1538,3435,436,1586,54,25046,1776,62,20,156,43,52,<20,648,859,32
304,Brisbane,Queensland,37,90,7605,645,1227,41,345,<20,4318,3662,3331,6796,2300,3627,197,517,<20,13964,1708,34,<20,77,<20,<20,<20,434,2774,37
305,Capricornia,Queensland,275,50,13529,105,3215,119,1133,<20,4929,8819,8562,7920,1012,4309,534,2041,72,23180,1412,63,<20,129,28,61,<20,899,455,28
306,Dawson,Queensland,273,52,13007,130,3231,96,1188,<20,4391,9142,8556,8326,1037,4658,518,2002,39,22202,1845,65,<20,150,47,53,<20,920,588,26
307,Dickson,Queensland,72,25,10976,227,2992,126,873,<20,3328,9865,8482,7325,1477,3077,448,1504,45,18098,1315,46,<20,138,22,31,<20,681,901,48
308,Fadden,Queensland,66,52,16436,471,4061,124,1627,<20,4699,13040,11030,11065,1938,5238,812,2268,57,27179,1876,65,23,204,42,26,<20,904,1696,52
309,Fairfax,Queensland,75,47,17681,455,3637,98,1347,<20,5285,11057,9041,9414,1824,4879,621,1721,55,28291,2290,81,<20,229,36,47,<20,899,1137,49
310,Fisher,Queensland,56,37,18981,390,3939,103,1385,<20,4885,10051,8459,9253,1918,4472,613,1661,62,28963,2336,58,<20,220,38,40,<20,835,1396,43
311,Flynn,Queensland,318,45,12300,69,3799,127,1568,<20,5273,9454,9480,8490,873,4600,653,2025,77,22896,1559,59,<20,132,54,94,<20,922,231,32
312,Forde,Queensland,108,52,13549,277,4413,160,1810,<20,6046,15114,12724,11356,1545,4978,915,2997,54,26431,776,70,24,189,44,59,<20,1188,1134,55
313,Griffith,Queensland,44,102,9270,647,1738,59,576,<20,4138,5327,4885,7408,2339,3736,226,825,<20,15946,1482,41,23,97,<20,<20,<20,483,2772,39
314,Groom,Queensland,228,80,16177,272,3639,103,1298,<20,6112,11198,9530,8045,1581,3286,692,2137,40,27442,2004,46,<20,128,49,65,<20,898,887,49
315,Herbert,Queensland,568,236,11410,359,3605,120,1451,<20,5292,12186,11018,11517,1843,5875,729,3064,39,23033,1070,50,<20,125,28,32,<20,1385,1705,54
316,Hinkler,Queensland,284,54,25061,268,7107,171,3251,<20,8791,11957,10308,11954,1806,6867,980,2677,171,42999,1647,77,<20,272,100,133,<20,1526,637,59
317,Kennedy,Queensland,1100,185,16690,105,3804,108,1725,<20,6364,13112,11544,12964,929,7846,1144,3232,46,30375,2147,59,<20,176,61,91,<20,1501,240,39
318,Leichhardt,Queensland,1672,358,12429,398,3231,133,1475,<20,6557,15831,13813,16597,1396,9786,1438,3748,24,26759,1378,86,<20,200,29,29,<20,1759,826,34
319,Lilley,Queensland,92,63,15363,342,2783,83,869,<20,4666,8200,7224,7739,1723,3747,427,1300,26,23779,1884,56,23,151,22,<20,<20,710,1400,44
320,Longman,Queensland,162,50,17915,284,5633,163,2288,<20,7037,14366,12366,11954,1826,6041,1041,3128,84,33169,1243,77,<20,226,81,93,<20,1385,1042,51
321,Maranoa,Queensland,341,61,18223,107,4798,119,2073,<20,7703,12421,10276,9493,1323,4354,900,2292,75,32135,2571,55,<20,174,88,105,<20,1014,262,30
322,McPherson,Queensland,57,45,17052,476,3583,119,1417,<20,4647,11410,9522,10240,2006,5142,583,1779,50,27028,1962,67,<20,252,34,35,<20,815,1753,49
323,Moncrieff,Queensland,55,75,16942,666,3432,89,1429,<20,5381,10319,8674,11741,2274,6548,638,1877,53,27999,2268,73,<20,250,31,25,<20,1030,2302,55
324,Moreton,Queensland,58,74,11537,542,2514,83,930,<20,4079,8894,7659,9836,2771,4058,655,1088,33,18911,2042,42,42,141,20,21,<20,639,2822,31
325,Oxley,Queensland,173,76,10626,311,3616,193,1524,28,5616,14318,12429,11482,1997,5070,1031,2493,59,22577,855,59,46,183,30,46,<20,1083,1727,23
326,Petrie,Queensland,122,58,17379,276,4164,141,1566,<20,5982,12316,10732,9754,1503,4885,680,2320,54,29370,1499,57,26,174,47,52,<20,1086,960,34
327,Rankin,Queensland,184,71,11931,403,4242,162,1932,<20,6920,18230,15457,15042,2339,6684,1349,3311,73,26546,792,85,67,211,64,80,<20,1544,1860,60
328,Ryan,Queensland,52,53,8966,498,1862,73,413,<20,2159,5100,4669,6638,2867,2208,199,576,<20,12968,3090,30,<20,90,<20,<20,<20,321,3667,<20
329,Wide Bay,Queensland,217,52,20985,309,5665,112,2773,<20,9263,12110,10224,11488,1669,6466,967,2270,131,37935,2188,79,<20,261,89,108,<20,1314,576,31
330,Wright,Queensland,106,42,13829,245,4267,126,1730,<20,5464,11782,9753,9124,1601,4259,662,2023,70,24938,1577,75,<20,144,41,92,<20,809,997,28
401,Adelaide,South Australia,52,68,14108,669,2971,101,1041,23,6512,7295,6254,10262,2953,5239,488,1019,33,24579,1974,38,30,142,41,28,<20,666,3036,24
402,Barker,South Australia,133,41,20414,141,4276,168,1779,<20,7294,12441,9845,10326,1559,5744,856,1941,81,33978,2178,74,<20,180,72,90,<20,904,689,57
403,Boothby,South Australia,42,51,17769,460,2858,119,828,<20,4387,7182,6101,7746,2391,3546,339,856,48,25331,2554,38,<20,155,36,34,<20,497,2157,27
404,Grey,South Australia,377,136,20836,77,4949,155,2240,<20,8681,11142,9685,11500,1228,7194,921,2320,148,36943,1708,65,<20,165,73,111,<20,1400,390,35
405,Hindmarsh,South Australia,38,34,21219,436,3751,129,1216,<20,5930,7759,6455,8673,2204,4634,389,1051,72,31219,2271,51,27,115,64,46,<20,589,1987,40
406,Kingston,South Australia,79,55,17090,334,4853,253,1880,<20,7388,13692,11291,11728,2058,6148,799,2389,112,31588,713,74,24,178,55,79,<20,1135,1407,52
407,Makin,South Australia,68,40,18124,311,4048,249,1381,<20,5305,11322,9255,9630,2067,4619,630,1545,105,28458,935,45,21,157,55,62,<20,754,1563,36
408,Mayo,South Australia,48,<20,19177,239,3145,142,987,<20,4589,9037,7218,7323,1539,3628,481,1060,79,27576,2481,42,<20,173,44,63,<20,531,820,24
409,Port Adelaide,South Australia,152,92,18352,371,6118,287,2712,33,9858,14953,12614,14737,2662,8613,1160,2767,108,37473,596,65,51,223,106,109,<20,1290,2234,39
410,Sturt,South Australia,43,39,19972,398,3324,140,970,<20,4921,8077,6688,7606,2057,3409,392,878,52,28338,2874,27,25,136,45,46,<20,464,1728,24
411,Wakefield,South Australia,143,64,17717,301,6557,407,2682,30,9790,16644,14294,15188,2122,8234,1311,3826,92,37713,1016,73,<20,178,78,105,<20,1795,1527,51
501,Brand,Western Australia,106,34,16149,185,3651,172,1210,<20,4841,12664,12461,9127,1288,4539,570,2799,68,26895,1112,74,<20,168,63,76,<20,866,721,30
502,Canning,Western Australia,121,41,18374,185,3626,156,1274,<20,5248,11519,11113,9122,1351,4851,628,2719,88,29645,1895,60,<20,176,48,73,<20,857,696,21
503,Cowan,Western Australia,62,21,11987,227,2794,162,872,<20,3512,9834,8853,7967,1831,3328,612,1584,50,19247,1087,48,24,138,51,63,<20,519,1224,27
504,Curtin,Western Australia,56,79,9125,357,1264,41,257,<20,2256,2742,2626,3715,1372,1540,95,367,<20,12500,3706,<20,<20,66,<20,<20,<20,105,1543,<20
505,Durack,Western Australia,1126,144,9486,45,2520,103,1142,<20,6260,11472,11091,12823,571,7467,1070,3177,27,21642,1214,30,<20,90,33,44,<20,1521,159,<20
506,Forrest,Western Australia,131,25,15275,153,2843,75,1029,<20,4631,10349,9872,7911,1208,4249,558,2096,55,24950,2219,52,<20,157,43,42,<20,716,373,22
507,Fremantle,Western Australia,95,33,13735,382,2689,122,865,<20,4479,7669,7366,7245,1581,3916,300,1418,47,21942,1720,34,<20,130,64,56,<20,502,1231,<20
508,Hasluck,Western Australia,184,51,15462,200,3036,142,1048,<20,4492,11318,10473,9241,1542,4499,673,2219,53,24766,1402,51,<20,149,51,66,<20,792,1067,<20
509,Moore,Western Australia,21,<20,9813,215,1991,124,492,<20,2278,7224,6715,5718,1490,2130,253,1160,35,14591,1800,48,<20,91,<20,28,<20,346,1053,33
510,O'Connor,Western Australia,326,54,14335,99,2829,113,1164,<20,5592,10968,10036,9330,934,4963,802,2151,52,24887,2561,47,<20,139,39,67,<20,837,299,<20
511,Pearce,Western Australia,162,39,13669,163,3071,167,1042,20,3852,11885,11118,8251,1253,3741,572,2251,51,22340,1851,40,<20,150,47,61,<20,636,670,27
512,Perth,Western Australia,85,41,14320,343,2251,84,810,<20,4459,7243,6612,8005,1818,4227,404,1228,46,22124,1413,48,29,153,55,43,<20,505,1503,<20
513,Stirling,Western Australia,81,31,14985,353,2597,87,918,22,4633,7869,7168,7953,1729,3844,608,1394,48,23326,2076,27,34,159,45,40,<20,472,1391,21
514,Swan,Western Australia,154,53,14325,418,2255,68,855,<20,4533,7949,7342,8623,2176,4118,489,1396,50,22474,1686,47,51,173,28,31,<20,552,2120,<20
515,Tangney,Western Australia,<20,<20,11591,220,1836,79,420,<20,1522,5409,5013,5007,1653,1647,188,568,32,14685,2905,<20,32,121,<20,<20,<20,163,1377,<20
601,Bass,Tasmania,93,63,13010,320,3042,66,1541,<20,4832,8503,7092,9254,2185,4672,733,1552,68,23056,933,38,<20,163,56,48,<20,969,1488,32
602,Braddon,Tasmania,140,59,14377,151,3821,97,2006,<20,6404,8724,7412,8053,1326,4468,677,1609,120,26586,846,35,<20,183,69,99,<20,930,459,26
603,Denison,Tasmania,86,55,11300,417,2468,57,1064,<20,5380,6949,5874,8044,2311,4014,494,1321,43,20607,1364,42,<20,118,27,30,<20,751,1857,43
604,Franklin,Tasmania,84,23,12958,194,2867,78,1202,<20,4794,8018,6456,6581,1492,3131,498,1306,83,21812,1413,30,<20,117,49,63,<20,572,647,38
605,Lyons,Tasmania,116,36,14415,137,4277,100,2295,<20,6964,9679,7813,8465,1417,4855,758,1778,143,27867,1020,42,<20,199,82,94,<20,773,446,30
701,Lingiari,Northern Territory,2468,271,3870,39,1530,49,883,<20,6279,11406,10487,16772,245,9534,2344,2287,<20,14610,276,26,<20,70,<20,<20,<20,2061,62,<20
702,Solomon,Northern Territory,417,113,4493,125,1440,89,520,<20,3240,6589,5973,4889,418,2455,312,1327,20,10132,533,38,<20,54,20,<20,<20,442,276,<20
801,Canberra,Australian Capital Territory,80,36,11976,226,2646,115,605,<20,4064,7177,6755,5828,1125,2549,275,1224,21,18747,2802,56,<20,71,23,<20,<20,447,908,39
802,Fraser,Australian Capital Territory,77,65,11015,500,2775,122,674,<20,4713,9042,8434,8767,2673,3357,448,1403,<20,18865,2476,42,46,87,<20,<20,<20,608,3361,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,24423,8267,2385727,47002,586538,22195,239729,1340,832533,1537515,1334362,1451280,317955,695907,104793,259506,8909,3921476,284562,7510,5329,26194,7781,8006,456,112896,220909,6685
