State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss
no.","Taxable income or loss
$","Average taxable income or loss3
$","Median taxable income or loss3
$",Australian rank5 descending,Ranking5 by state/ territory descending
NSW,2110,"6,104","6,104","952,643,276","156,069","65,705",12,9
NSW,2111,"9,312","9,312","814,924,847","87,513","57,628",125,56
NSW,2112,"20,739","20,739","1,342,775,138","64,746","48,206",477,162
NSW,2113,"13,108","13,108","856,606,926","65,350","51,142",453,157
NSW,2114,"15,461","15,461","931,080,554","60,221","48,574",683,202
NSW,2115,"6,462","6,462","375,360,869","58,087","47,350",822,234
NSW,2116,"3,775","3,775","206,318,203","54,654","45,287","1,077",299
NSW,2117,"12,231","12,231","686,565,860","56,133","43,284",962,272
NSW,2118,"15,327","15,327","846,005,136","55,197","40,969","1,030",288
NSW,2119,"7,801","7,801","669,096,405","85,771","53,041",135,57
NSW,2120,"12,986","12,986","892,471,253","68,726","50,406",361,127
NSW,2121,"18,629","18,629","1,193,217,445","64,052","44,409",507,169
NSW,2122,"19,754","19,754","1,083,599,177","54,855","40,038","1,064",296
NSW,2123,59,59,"3,560,422","60,346","48,428",676,200
NSW,2124,477,477,"23,560,055","49,392","35,302","1,553",406
NSW,2125,"11,129","11,129","881,945,278","79,247","50,523",198,79
NSW,2126,"12,051","12,051","810,802,445","67,281","48,157",399,139
NSW,2127,"10,329","10,329","646,948,289","62,634","52,715",555,178
NSW,2128,"1,380","1,380","68,946,476","49,961","43,442","1,494",393
NSW,2129,69,69,"4,619,119","66,944","48,067",407,141
NSW,2130,"4,854","4,854","353,622,448","72,852","56,677",282,98
NSW,2131,"15,600","15,600","835,445,765","53,554","41,827","1,186",325
NSW,2132,"6,387","6,387","407,249,574","63,762","47,437",516,170
NSW,2133,"6,416","6,416","379,692,061","59,179","46,880",749,219
NSW,2134,"9,633","9,633","479,225,580","49,748","34,766","1,518",401
NSW,2135,"17,641","17,641","1,164,509,008","66,012","41,362",428,147
NSW,2136,"4,693","4,693","267,858,831","57,076","44,053",890,251
NSW,2137,"17,168","17,168","1,288,869,597","75,074","52,350",250,91
NSW,2138,"11,871","11,871","739,783,815","62,319","46,343",569,181
NSW,2140,"10,799","10,799","541,389,378","50,133","41,975","1,472",389
NSW,2141,"17,122","17,122","766,038,514","44,740","35,770","2,053",516
NSW,2142,"14,041","14,041","616,667,364","43,919","37,493","2,133",542
NSW,2143,"4,858","4,858","222,119,392","45,722","38,320","1,943",494
NSW,2144,"20,085","20,085","756,893,111","37,684","30,730","2,563",632
NSW,2145,"45,189","45,189","2,501,575,320","55,358","47,285","1,016",287
NSW,2146,"10,255","10,255","546,094,792","53,252","46,528","1,206",328
NSW,2147,"20,143","20,143","1,089,789,303","54,103","47,256","1,133",312
NSW,2148,"35,816","35,816","1,756,752,536","49,049","44,402","1,585",412
NSW,2149,157,157,"8,575,855","54,623","43,087","1,080",300
NSW,2150,"21,735","21,735","1,144,899,814","52,675","44,971","1,242",340
NSW,2151,"12,426","12,426","719,967,447","57,940","47,700",834,237
NSW,2152,"6,648","6,648","398,599,747","59,958","50,440",698,205
NSW,2153,"35,652","35,652","2,301,632,230","64,558","50,507",484,163
NSW,2154,"24,929","24,929","1,739,232,828","69,767","48,979",342,122
NSW,2155,"34,913","34,913","2,383,242,635","68,262","54,900",374,131
NSW,2156,"8,878","8,878","728,240,506","82,028","49,358",167,68
NSW,2157,"2,421","2,421","158,258,895","65,369","42,916",452,156
NSW,2158,"5,690","5,690","487,348,500","85,650","50,209",137,58
NSW,2159,"3,324","3,324","243,740,191","73,327","45,893",276,97
NSW,2160,"18,765","18,765","856,128,486","45,624","38,517","1,953",498
NSW,2161,"14,035","14,035","623,589,590","44,431","37,604","2,084",527
NSW,2162,"8,549","8,549","392,231,147","45,880","38,936","1,917",491
NSW,2163,"3,835","3,835","157,325,971","41,024","36,624","2,381",593
NSW,2164,"9,549","9,549","483,631,949","50,647","42,546","1,435",383
NSW,2165,"17,067","17,067","760,185,240","44,541","38,471","2,076",524
NSW,2166,"24,349","24,349","1,046,903,027","42,996","37,435","2,219",562
NSW,2167,"5,475","5,475","290,882,400","53,129","47,512","1,214",332
NSW,2168,"19,167","19,167","897,094,208","46,804","42,195","1,806",460
NSW,2170,"51,303","51,303","2,623,586,739","51,139","44,282","1,388",370
NSW,2171,"20,391","20,391","1,149,242,475","56,360","48,668",951,269
NSW,2172,"1,660","1,660","118,844,979","71,593","58,031",300,106
NSW,2173,"8,556","8,556","510,525,024","59,669","53,512",715,211
NSW,2174,"2,387","2,387","144,474,875","60,526","53,557",663,197
NSW,2175,"1,112","1,112","71,422,779","64,229","46,970",501,166
NSW,2176,"24,102","24,102","1,235,685,694","51,269","43,356","1,372",365
NSW,2177,"7,805","7,805","377,218,452","48,330","42,487","1,653",430
NSW,2178,"2,204","2,204","139,362,091","63,231","46,721",537,175
NSW,2179,"3,273","3,273","186,527,034","56,990","46,145",898,254
NSW,2190,"11,555","11,555","538,676,193","46,618","36,928","1,823",463
NSW,2191,"3,341","3,341","183,690,786","54,981","43,805","1,045",291
NSW,2192,"7,003","7,003","326,470,641","46,619","39,154","1,822",462
NSW,2193,"9,916","9,916","581,840,876","58,677","46,399",778,223
NSW,2194,"13,883","13,883","591,701,330","42,621","35,971","2,257",568
NSW,2195,"12,659","12,659","520,775,795","41,139","31,594","2,377",592
NSW,2196,"15,602","15,602","710,906,513","45,565","37,744","1,959",500
NSW,2197,"4,215","4,215","201,702,960","47,854","39,302","1,704",439
NSW,2198,"4,467","4,467","232,314,933","52,007","40,795","1,302",352
NSW,2199,"8,264","8,264","377,803,744","45,717","38,656","1,944",495
NSW,2200,"21,143","21,143","945,266,265","44,708","37,109","2,058",517
NSW,2203,"8,590","8,590","580,467,631","67,575","54,549",389,136
NSW,2204,"16,032","16,032","1,041,229,267","64,947","51,956",474,161
NSW,2205,"13,322","13,322","706,371,905","53,023","42,994","1,226",336
NSW,2206,"11,327","11,327","729,412,945","64,396","49,702",491,164
NSW,2207,"15,964","15,964","894,416,670","56,027","44,679",969,275
NSW,2208,"7,303","7,303","413,831,249","56,666","44,099",922,264
NSW,2209,"9,224","9,224","472,651,908","51,242","41,256","1,376",367
NSW,2210,"17,585","17,585","980,204,734","55,741","42,956",982,278
NSW,2211,"10,077","10,077","542,724,679","53,858","45,677","1,155",317
NSW,2212,"8,940","8,940","479,480,773","53,633","45,822","1,178",323
NSW,2213,"12,656","12,656","744,485,311","58,825","48,604",766,222
NSW,2214,"2,366","2,366","134,784,009","56,967","47,388",899,255
NSW,2216,"17,927","17,927","924,274,179","51,558","42,424","1,345",359
NSW,2217,"17,355","17,355","972,456,389","56,033","45,360",967,274
NSW,2218,"10,311","10,311","516,108,780","50,054","41,398","1,477",391
NSW,2219,"8,077","8,077","535,207,491","66,263","49,238",422,144
NSW,2220,"20,087","20,087","910,121,333","45,309","35,834","1,989",505
NSW,2221,"10,438","10,438","747,410,687","71,605","47,367",299,105
NSW,2222,"8,021","8,021","426,485,285","53,171","42,895","1,213",331
NSW,2223,"13,504","13,504","924,273,584","68,444","50,223",369,130
NSW,2224,"8,727","8,727","616,452,981","70,637","47,431",317,110
NSW,2225,"3,484","3,484","269,963,892","77,487","55,096",218,85
NSW,2226,"7,720","7,720","541,403,410","70,130","53,140",329,116
NSW,2227,"9,124","9,124","627,298,856","68,753","52,176",360,126
NSW,2228,"11,258","11,258","732,269,371","65,044","48,976",468,159
NSW,2229,"18,219","18,219","1,359,548,452","74,623","51,690",256,93
NSW,2230,"19,884","19,884","1,602,256,641","80,580","54,788",187,77
NSW,2231,"1,341","1,341","82,622,916","61,613","48,652",600,191
NSW,2232,"20,272","20,272","1,289,261,031","63,598","51,318",525,173
NSW,2233,"18,177","18,177","1,100,400,430","60,538","50,573",661,196
NSW,2234,"20,231","20,231","1,354,364,310","66,945","51,978",406,140
NSW,2250,"38,668","38,668","2,090,149,621","54,054","43,408","1,137",313
NSW,2251,"18,848","18,848","1,071,795,697","56,865","42,559",909,259
NSW,2256,"8,131","8,131","421,376,221","51,823","41,069","1,314",355
NSW,2257,"15,799","15,799","802,716,943","50,808","39,730","1,420",378
NSW,2258,"3,191","3,191","188,949,491","59,213","46,747",746,217
NSW,2259,"30,966","30,966","1,564,065,389","50,509","42,374","1,446",386
NSW,2260,"14,981","14,981","977,556,985","65,253","45,021",456,158
