State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss
no.","Taxable income or loss
$","Average taxable income or loss3
$","Median taxable income or loss3
$",Australian rank5 descending,Ranking5 by state/ territory descending
QLD,4129,"3,850","3,850","198,544,346","51,570","47,022","1,340",188
QLD,4130,"5,567","5,567","334,462,732","60,080","47,995",691,87
QLD,4131,"5,147","5,147","229,592,487","44,607","41,749","2,069",322
QLD,4132,"12,369","12,369","548,636,406","44,356","42,150","2,091",323
QLD,4133,"9,369","9,369","450,325,870","48,066","43,361","1,686",250
QLD,4151,"11,741","11,741","835,355,445","71,149","53,353",311,31
QLD,4152,"29,119","29,119","1,999,747,409","68,675","52,108",364,42
QLD,4153,"2,795","2,795","192,934,272","69,028","50,488",355,39
QLD,4154,"6,516","6,516","504,670,231","77,451","59,977",219,19
QLD,4155,993,993,"97,386,105","98,073","52,392",66,3
QLD,4156,"2,162","2,162","174,175,325","80,562","52,934",188,16
QLD,4157,"11,950","11,950","647,956,731","54,222","46,642","1,120",144
QLD,4158,"2,197","2,197","121,946,868","55,506","48,799","1,001",121
QLD,4159,"8,678","8,678","498,115,865","57,400","46,805",871,107
QLD,4160,"11,588","11,588","737,851,944","63,674","47,700",519,63
QLD,4161,"9,696","9,696","504,496,830","52,031","46,238","1,300",177
QLD,4163,"9,385","9,385","623,543,441","66,440","44,681",420,50
QLD,4164,"9,408","9,408","566,185,646","60,181","48,253",686,86
QLD,4165,"22,324","22,324","1,263,900,367","56,616","47,186",925,111
QLD,4169,"10,123","10,123","723,846,777","71,505","49,331",303,30
QLD,4170,"16,690","16,690","1,179,535,876","70,673","54,639",316,32
QLD,4171,"10,733","10,733","1,073,800,857","100,047","62,795",59,2
QLD,4172,"2,933","2,933","190,256,797","64,868","52,542",475,57
QLD,4173,"5,151","5,151","290,696,293","56,435","49,827",943,115
QLD,4174,"1,525","1,525","84,863,890","55,648","49,889",991,120
QLD,4178,"14,984","14,984","872,101,721","58,202","48,328",813,102
QLD,4179,"11,667","11,667","759,249,159","65,077","50,952",465,54
QLD,4183,"1,202","1,202","59,005,987","49,090","36,476","1,580",236
QLD,4184,"2,626","2,626","99,293,756","37,812","29,398","2,557",398
QLD,4205,"2,470","2,470","111,942,952","45,321","41,842","1,988",307
QLD,4207,"30,643","30,643","1,501,419,831","48,997","43,310","1,593",239
QLD,4208,"12,091","12,091","665,770,129","55,063","47,999","1,038",132
QLD,4209,"31,230","31,230","1,594,342,316","51,052","43,577","1,396",200
QLD,4210,"12,225","12,225","673,508,713","55,093","45,413","1,036",131
QLD,4211,"36,167","36,167","1,816,894,164","50,236","42,128","1,465",218
QLD,4212,"17,824","17,824","1,111,943,181","62,385","44,274",566,69
QLD,4213,"17,775","17,775","961,975,470","54,120","41,809","1,132",146
QLD,4214,"22,288","22,288","1,115,219,979","50,037","40,426","1,479",222
QLD,4215,"28,399","28,399","1,341,130,432","47,225","37,440","1,757",265
QLD,4216,"22,190","22,190","1,244,548,477","56,086","40,693",965,118
QLD,4217,"27,173","27,173","1,601,974,012","58,955","37,000",761,95
QLD,4218,"21,574","21,574","1,324,794,304","61,407","41,904",614,77
QLD,4219,214,214,"12,721,978","59,448","42,283",731,91
QLD,4220,"20,174","20,174","1,111,545,277","55,098","42,170","1,035",130
QLD,4221,"16,567","16,567","904,081,333","54,571","41,349","1,090",142
QLD,4223,"8,953","8,953","492,817,758","55,045","41,352","1,041",134
QLD,4224,"4,054","4,054","222,450,839","54,872","42,735","1,059",138
QLD,4225,"4,909","4,909","246,843,476","50,284","37,424","1,459",215
QLD,4226,"20,854","20,854","1,070,445,440","51,330","40,965","1,367",192
QLD,4227,"12,756","12,756","667,352,943","52,317","42,344","1,275",173
QLD,4228,"3,386","3,386","191,112,165","56,442","40,828",941,113
QLD,4230,196,196,"11,428,751","58,310","45,991",805,101
QLD,4270,"2,434","2,434","131,381,289","53,978","45,008","1,145",147
QLD,4271,794,794,"39,837,731","50,173","39,762","1,468",220
QLD,4272,"3,587","3,587","177,278,679","49,423","36,334","1,549",231
QLD,4275,"1,992","1,992","99,920,196","50,161","41,847","1,469",221
QLD,4280,"9,864","9,864","518,058,708","52,520","46,214","1,257",167
QLD,4285,"10,746","10,746","527,563,819","49,094","41,596","1,579",235
QLD,4287,383,383,"16,153,337","42,176","34,840","2,297",356
QLD,4300,"32,641","32,641","1,758,235,157","53,866","47,877","1,154",149
QLD,4301,"14,994","14,994","685,180,421","45,697","42,826","1,948",297
QLD,4303,"1,609","1,609","66,673,120","41,438","39,737","2,358",365
QLD,4304,"8,518","8,518","399,704,027","46,925","43,278","1,792",273
QLD,4305,"32,468","32,468","1,614,323,019","49,720","44,916","1,522",225
QLD,4306,"21,232","21,232","1,197,610,579","56,406","48,824",945,116
QLD,4307,904,904,"42,410,898","46,915","41,439","1,793",274
QLD,4309,"1,657","1,657","73,223,238","44,190","37,636","2,111",330
QLD,4310,"3,282","3,282","140,876,545","42,924","35,950","2,230",347
QLD,4311,"4,847","4,847","218,464,344","45,072","40,111","2,024",316
QLD,4312,"1,260","1,260","58,304,174","46,273","35,898","1,870",287
QLD,4313,"1,027","1,027","40,481,551","39,417","35,332","2,487",387
QLD,4314,64,64,"2,576,446","40,257","28,616","2,435",374
QLD,4340,"2,862","2,862","131,871,508","46,077","39,919","1,889",288
QLD,4341,"7,370","7,370","345,690,373","46,905","41,258","1,795",275
QLD,4342,"1,306","1,306","59,039,049","45,206","37,974","2,003",312
QLD,4343,"6,903","6,903","281,350,988","40,758","32,932","2,398",368
QLD,4344,"1,448","1,448","67,469,481","46,595","41,644","1,827",281
QLD,4346,537,537,"27,280,832","50,802","46,309","1,421",205
QLD,4347,662,662,"29,303,636","44,265","38,618","2,104",327
QLD,4350,"59,685","59,685","3,141,070,132","52,627","43,285","1,244",162
QLD,4352,"17,190","17,190","924,937,781","53,807","45,124","1,160",150
QLD,4353,256,256,"9,641,736","37,663","30,122","2,564",401
QLD,4354,641,641,"28,986,766","45,221","40,310","1,998",310
QLD,4355,"1,282","1,282","50,035,484","39,029","31,392","2,509",389
QLD,4356,"2,912","2,912","133,621,361","45,886","38,896","1,916",291
QLD,4357,"1,487","1,487","66,901,221","44,991","36,555","2,033",317
QLD,4358,"1,345","1,345","63,360,373","47,108","41,226","1,769",267
QLD,4359,739,739,"32,734,028","44,295","40,471","2,098",326
QLD,4360,439,439,"17,839,017","40,636","34,020","2,410",370
QLD,4361,"1,427","1,427","57,337,965","40,181","33,036","2,438",376
QLD,4362,"1,337","1,337","51,292,487","38,364","31,579","2,536",393
QLD,4363,447,447,"20,319,563","45,458","38,603","1,971",301
QLD,4364,195,195,"11,781,244","60,417","51,028",672,84
QLD,4365,236,236,"8,096,981","34,309","29,952","2,644",425
QLD,4370,"9,686","9,686","418,433,535","43,200","37,194","2,198",342
QLD,4371,464,464,"16,646,114","35,875","28,518","2,609",416
QLD,4372,94,94,"3,333,442","35,462","36,464","2,616",418
QLD,4373,545,545,"20,121,195","36,920","32,455","2,587",408
QLD,4374,248,248,"8,548,575","34,470","32,040","2,637",423
QLD,4375,153,153,"4,657,518","30,441","24,140","2,677",431
QLD,4376,168,168,"6,319,133","37,614","28,449","2,566",403
QLD,4377,363,363,"12,749,940","35,124","29,301","2,626",420
QLD,4378,216,216,"7,825,726","36,230","31,308","2,601",413
QLD,4380,"4,630","4,630","173,717,945","37,520","30,463","2,568",404
QLD,4381,299,299,"11,597,293","38,787","31,809","2,517",390
QLD,4382,327,327,"12,399,623","37,919","30,871","2,553",396
QLD,4383,283,283,"9,024,910","31,890","30,829","2,668",427
QLD,4385,607,607,"22,020,768","36,278","32,354","2,598",412
QLD,4387,659,659,"26,246,736","39,828","33,607","2,455",381
QLD,4388,218,218,"11,429,975","52,431","28,828","1,263",170
QLD,4390,"4,404","4,404","221,387,387","50,270","42,890","1,462",217
QLD,4400,"1,087","1,087","52,126,388","47,954","43,199","1,696",254
QLD,4401,"3,066","3,066","138,956,068","45,322","42,778","1,987",306
QLD,4402,142,142,"4,244,533","29,891","25,037","2,682",433
QLD,4403,433,433,"19,754,437","45,622","39,730","1,954",299
QLD,4404,312,312,"14,681,393","47,056","34,259","1,776",269
QLD,4405,"8,099","8,099","415,591,068","51,314","43,075","1,368",193
QLD,4406,600,600,"23,885,873","39,810","31,692","2,456",382
QLD,4407,340,340,"15,799,593","46,469","36,942","1,841",283
QLD,4408,416,416,"15,546,303","37,371","31,768","2,572",406
QLD,4410,681,681,"28,931,289","42,484","34,513","2,265",352
QLD,4411,163,163,"7,962,762","48,851","42,843","1,603",241
QLD,4412,139,139,"5,930,217","42,663","37,145","2,253",349
QLD,4413,"4,137","4,137","220,327,832","53,258","41,682","1,205",158
QLD,4415,"1,067","1,067","50,172,215","47,022","40,432","1,783",270
QLD,4416,289,289,"13,038,484","45,116","39,675","2,021",315
QLD,4417,331,331,"19,086,770","57,664","43,675",848,104
QLD,4418,70,70,"2,940,217","42,003","34,868","2,310",360
QLD,4419,509,509,"22,097,359","43,413","38,191","2,180",340
QLD,4420,771,771,"37,791,309","49,016","39,422","1,590",238
QLD,4421,964,964,"40,586,404","42,102","35,082","2,303",358
QLD,4422,288,288,"12,853,566","44,630","36,545","2,067",321
QLD,4423,132,132,"5,065,607","38,376","27,564","2,535",392
QLD,4424,120,120,"4,220,414","35,170","29,156","2,625",419
QLD,4425,157,157,"4,764,555","30,347","28,546","2,679",432
QLD,4426,73,73,"2,286,576","31,323","25,068","2,674",429
QLD,4427,185,185,"6,431,490","34,765","34,796","2,632",421
QLD,4428,403,403,"16,172,557","40,130","36,781","2,442",377
QLD,4454,482,482,"21,816,551","45,263","36,560","1,993",308
QLD,4455,"5,005","5,005","272,321,499","54,410","47,539","1,104",143
QLD,4465,759,759,"34,085,492","44,908","34,385","2,041",319
QLD,4467,114,114,"4,223,209","37,046","28,574","2,581",407
QLD,4468,214,214,"8,624,554","40,302","27,816","2,432",373
QLD,4470,"1,980","1,980","96,859,673","48,919","44,292","1,600",240
QLD,4472,796,796,"31,992,396","40,191","36,263","2,436",375
QLD,4477,293,293,"14,750,583","50,343","42,554","1,457",214
QLD,4478,288,288,"14,478,501","50,273","38,470","1,460",216
QLD,4480,478,478,"22,000,846","46,027","42,015","1,894",290
QLD,4481,77,77,"3,229,677","41,944","37,811","2,316",361
QLD,4482,78,78,"4,681,138","60,015","46,884",695,88
QLD,4486,398,398,"19,128,711","48,062","39,505","1,687",251
QLD,4487,"1,887","1,887","90,356,408","47,884","41,697","1,702",256
QLD,4488,139,139,"6,363,389","45,780","35,688","1,929",294
QLD,4490,670,670,"28,391,953","42,376","38,676","2,276",354
QLD,4491,51,51,"1,937,375","37,988","30,862","2,551",395
QLD,4492,134,134,"7,675,441","57,279","57,487",875,108
QLD,4494,73,73,"3,280,071","44,932","39,956","2,038",318
QLD,4496,201,201,"9,548,999","47,507","41,753","1,726",259
QLD,4497,215,215,"10,660,536","49,584","39,212","1,531",227
QLD,4498,123,123,"6,453,023","52,464","44,706","1,260",168
QLD,4500,"25,565","25,565","1,416,517,868","55,408","47,481","1,013",124
QLD,4501,"3,140","3,140","150,581,345","47,956","44,451","1,695",253
QLD,4502,"5,081","5,081","266,065,355","52,365","46,565","1,271",171
QLD,4503,"25,906","25,906","1,340,557,499","51,747","45,686","1,320",180
QLD,4504,"10,869","10,869","596,525,285","54,883","48,336","1,056",137
QLD,4505,"11,808","11,808","605,746,619","51,300","44,234","1,369",194
QLD,4506,"11,920","11,920","557,259,431","46,750","41,083","1,816",277
QLD,4507,"8,897","8,897","413,202,871","46,443","35,139","1,847",285
QLD,4508,"9,233","9,233","418,629,723","45,341","40,968","1,981",305
QLD,4509,"18,335","18,335","1,048,484,446","57,185","49,035",884,109
QLD,4510,"24,419","24,419","1,082,539,257","44,332","38,687","2,096",325
QLD,4511,"4,506","4,506","210,325,645","46,677","38,302","1,818",278
QLD,4512,"2,096","2,096","104,139,398","49,685","42,281","1,527",226
QLD,4514,"3,580","3,580","169,910,603","47,461","40,949","1,730",261
QLD,4515,"2,295","2,295","107,779,544","46,963","41,316","1,787",271
QLD,4516,"2,438","2,438","125,247,701","51,373","43,987","1,364",191
QLD,4517,492,492,"25,002,976","50,819","42,208","1,418",204
QLD,4518,"2,981","2,981","145,385,714","48,771","40,653","1,612",242
QLD,4519,"4,852","4,852","259,868,279","53,559","39,088","1,185",154
QLD,4520,"8,521","8,521","615,346,925","72,215","50,378",293,28
QLD,4521,"2,866","2,866","167,367,517","58,398","47,036",794,98
QLD,4550,"2,488","2,488","116,464,938","46,811","38,356","1,804",276
QLD,4551,"33,234","33,234","1,668,121,809","50,193","39,318","1,466",219
QLD,4552,"5,162","5,162","226,488,005","43,876","31,364","2,137",332
QLD,4553,"3,710","3,710","191,231,697","51,545","40,547","1,346",189
QLD,4554,"1,195","1,195","61,096,478","51,127","38,498","1,390",199
QLD,4555,"4,164","4,164","211,343,131","50,755","39,780","1,424",207
QLD,4556,"26,587","26,587","1,451,278,129","54,586","40,011","1,085",141
QLD,4557,"12,288","12,288","640,198,789","52,100","40,642","1,293",176
QLD,4558,"12,168","12,168","584,556,669","48,040","38,372","1,692",252
QLD,4559,"3,764","3,764","191,095,908","50,769","40,098","1,423",206
QLD,4560,"18,591","18,591","893,727,593","48,073","38,712","1,685",249
QLD,4561,"4,667","4,667","235,136,959","50,383","39,540","1,454",212
QLD,4562,"5,077","5,077","260,844,582","51,378","36,785","1,363",190
QLD,4563,"5,125","5,125","245,442,308","47,891","36,392","1,701",255
QLD,4564,"6,956","6,956","347,540,706","49,963","39,872","1,492",224
QLD,4565,"8,236","8,236","364,085,099","44,207","36,009","2,109",329
QLD,4566,"5,545","5,545","307,621,727","55,477","36,770","1,003",122
QLD,4567,"7,763","7,763","469,387,844","60,465","37,697",666,81
QLD,4568,"2,159","2,159","95,447,856","44,209","36,104","2,108",328
QLD,4569,910,910,"39,483,551","43,389","35,516","2,182",341
QLD,4570,"21,178","21,178","908,013,172","42,875","35,881","2,238",348
QLD,4571,432,432,"16,337,966","37,819","30,256","2,556",397
QLD,4572,"2,648","2,648","160,394,130","60,572","42,148",659,80
QLD,4573,"16,800","16,800","879,195,893","52,333","40,221","1,273",172
QLD,4574,740,740,"31,819,018","42,999","33,747","2,218",344
QLD,4575,"15,377","15,377","903,298,794","58,744","42,036",772,96
QLD,4580,"1,800","1,800","64,878,422","36,044","27,099","2,605",414
QLD,4581,715,715,"26,967,487","37,717","30,351","2,561",400
QLD,4600,395,395,"14,354,419","36,340","29,939","2,595",411
QLD,4601,575,575,"17,725,701","30,827","24,294","2,676",430
QLD,4605,"1,881","1,881","70,965,403","37,727","32,853","2,559",399
QLD,4606,"1,228","1,228","48,481,835","39,480","35,596","2,483",385
QLD,4608,453,453,"19,038,601","42,028","34,154","2,308",359
QLD,4610,"7,407","7,407","352,725,597","47,621","38,990","1,715",257
QLD,4611,57,57,"1,323,839","23,225","23,194","2,690",437
QLD,4612,148,148,"4,709,924","31,824","29,486","2,669",428
QLD,4613,353,353,"11,753,167","33,295","23,717","2,651",426
QLD,4614,491,491,"19,648,284","40,017","33,255","2,448",378
QLD,4615,"2,957","2,957","123,014,262","41,601","33,447","2,343",363
QLD,4620,204,204,"7,500,039","36,765","32,132","2,590",409
QLD,4621,811,811,"28,940,214","35,685","29,128","2,613",417
QLD,4625,"1,654","1,654","62,273,235","37,650","31,499","2,565",402
QLD,4626,"1,275","1,275","43,821,380","34,370","30,868","2,640",424
QLD,4627,360,360,"13,152,604","36,535","28,948","2,593",410
QLD,4630,"1,310","1,310","51,992,853","39,689","32,516","2,470",384
QLD,4650,"14,935","14,935","656,777,825","43,976","37,012","2,128",331
QLD,4655,"28,110","28,110","1,285,390,782","45,727","36,118","1,940",296
QLD,4659,"1,909","1,909","76,258,654","39,947","32,113","2,452",379
QLD,4660,"3,528","3,528","151,518,429","42,947","32,490","2,224",345
QLD,4662,284,284,"11,882,416","41,839","34,392","2,323",362
QLD,4670,"40,149","40,149","1,871,236,105","46,607","38,034","1,824",279
QLD,4671,"2,713","2,713","107,071,401","39,466","29,300","2,484",386
QLD,4673,350,350,"15,027,111","42,935","35,025","2,228",346
QLD,4674,665,665,"24,897,468","37,440","27,554","2,571",405
QLD,4676,111,111,"4,229,777","38,106","27,250","2,547",394
QLD,4677,"1,968","1,968","93,529,054","47,525","32,634","1,724",258
QLD,4678,480,480,"26,006,460","54,180","37,654","1,126",145
QLD,4680,"28,858","28,858","1,954,470,198","67,727","51,400",387,44
QLD,4694,139,139,"8,401,917","60,445","41,312",668,83
QLD,4695,526,526,"28,997,773","55,129","46,232","1,034",129
QLD,4697,92,92,"3,898,581","42,376","34,878","2,277",355
QLD,4699,236,236,"10,799,455","45,760","35,568","1,932",295
QLD,4700,"8,856","8,856","527,570,450","59,572","46,381",722,90
QLD,4701,"22,750","22,750","1,245,422,909","54,744","46,531","1,074",139
QLD,4702,"14,977","14,977","802,525,792","53,584","43,694","1,183",153
QLD,4703,"12,726","12,726","739,284,989","58,092","44,664",821,103
QLD,4704,110,110,"6,130,841","55,735","40,480",983,119
QLD,4705,243,243,"7,101,141","29,223","36,071","2,684",435
QLD,4707,116,116,"5,405,966","46,603","31,146","1,826",280
QLD,4709,445,445,"41,849,606","94,044","82,874",81,6
QLD,4710,"2,294","2,294","122,270,459","53,300","40,345","1,203",157
QLD,4711,"1,036","1,036","65,160,538","62,896","52,362",544,67
QLD,4712,237,237,"11,845,578","49,981","44,203","1,489",223
QLD,4713,242,242,"10,258,759","42,392","37,157","2,275",353
QLD,4714,"1,022","1,022","48,484,103","47,440","40,292","1,734",262
QLD,4715,"4,127","4,127","256,792,577","62,223","47,531",575,73
QLD,4716,498,498,"25,757,301","51,721","41,730","1,322",182
QLD,4717,"2,441","2,441","189,903,993","77,798","65,976",217,18
QLD,4718,"1,168","1,168","86,944,701","74,439","48,428",260,24
QLD,4719,608,608,"31,127,445","51,196","43,708","1,381",196
QLD,4720,"8,650","8,650","562,972,195","65,083","51,170",464,53
QLD,4721,"2,090","2,090","132,325,401","63,314","51,422",533,65
QLD,4722,"1,087","1,087","66,878,039","61,525","47,644",607,76
QLD,4723,842,842,"49,293,407","58,543","44,928",787,97
QLD,4724,406,406,"19,184,533","47,253","46,634","1,754",264
QLD,4725,899,899,"69,339,244","77,129","43,427",226,22
QLD,4726,236,236,"8,141,236","34,497","33,879","2,636",422
QLD,4727,184,184,"6,621,854","35,988","34,454","2,606",415
QLD,4728,125,125,"6,314,786","50,518","37,561","1,445",211
QLD,4730,"2,035","2,035","98,214,799","48,263","42,922","1,659",245
QLD,4731,103,103,"3,000,095","29,127","33,950","2,685",436
QLD,4732,95,95,"2,810,486","29,584","21,871","2,683",434
QLD,4735,691,691,"32,434,970","46,939","41,458","1,790",272
QLD,4736,70,70,"3,542,936","50,613","48,298","1,440",210
QLD,4737,"4,612","4,612","275,253,522","59,682","47,125",714,89
QLD,4738,647,647,"34,324,095","53,051","43,115","1,223",160
QLD,4739,192,192,"8,717,425","45,403","37,336","1,976",304
QLD,4740,"47,448","47,448","2,949,367,602","62,160","49,878",581,75
QLD,4741,"3,764","3,764","219,775,251","58,389","44,582",796,99
QLD,4742,551,551,"38,314,166","69,536","51,749",345,36
QLD,4743,277,277,"22,875,749","82,584","68,912",164,15
QLD,4744,"4,687","4,687","396,288,213","84,550","72,485",147,12
QLD,4745,"1,293","1,293","103,966,459","80,407","67,114",189,17
QLD,4746,849,849,"72,738,669","85,676","67,845",136,11
QLD,4750,"3,016","3,016","194,328,243","64,432","51,453",490,60
QLD,4751,"2,791","2,791","176,700,426","63,311","51,052",534,66
QLD,4753,"2,389","2,389","156,346,542","65,444","55,161",446,51
QLD,4754,"1,246","1,246","75,251,568","60,395","50,802",674,85
QLD,4756,344,344,"17,790,206","51,716","37,374","1,323",183
QLD,4757,166,166,"7,539,048","45,416","32,263","1,974",303
QLD,4798,477,477,"26,201,511","54,930","39,917","1,051",136
QLD,4799,537,537,"25,912,462","48,254","37,905","1,661",246
QLD,4800,"5,290","5,290","276,689,620","52,304","41,971","1,277",174
QLD,4801,101,101,"4,113,222","40,725","35,743","2,402",369
QLD,4802,"6,978","6,978","360,863,493","51,714","40,766","1,325",184
QLD,4803,934,934,"42,167,750","45,147","42,090","2,017",313
QLD,4804,937,937,"53,821,888","57,441","43,839",869,106
QLD,4805,"6,127","6,127","301,755,602","49,250","37,478","1,567",233
QLD,4806,"2,156","2,156","112,592,102","52,223","44,640","1,286",175
QLD,4807,"6,574","6,574","336,631,986","51,207","42,765","1,380",195
QLD,4808,683,683,"35,433,300","51,879","44,209","1,311",179
QLD,4809,564,564,"27,379,104","48,545","42,652","1,629",243
QLD,4810,"13,647","13,647","888,046,126","65,073","50,132",466,55
QLD,4811,"7,287","7,287","432,136,300","59,302","51,438",739,93
QLD,4812,"10,273","10,273","565,424,461","55,040","46,101","1,042",135
QLD,4813,543,543,"32,166,655","59,239","61,388",744,94
QLD,4814,"24,573","24,573","1,386,799,528","56,436","47,472",942,114
QLD,4815,"10,507","10,507","534,970,501","50,916","44,666","1,407",203
QLD,4816,"4,422","4,422","228,568,361","51,689","41,603","1,327",185
QLD,4817,"17,525","17,525","967,959,920","55,233","48,200","1,026",127
QLD,4818,"16,761","16,761","955,434,453","57,003","51,126",896,110
QLD,4819,"1,330","1,330","58,346,199","43,869","33,680","2,139",333
QLD,4820,"5,060","5,060","257,743,937","50,938","42,591","1,406",202
QLD,4821,841,841,"36,630,173","43,556","38,465","2,166",337
QLD,4822,513,513,"26,035,110","50,751","41,803","1,426",208
QLD,4823,517,517,"25,634,783","49,584","42,283","1,532",228
QLD,4824,"1,529","1,529","104,439,080","68,305","56,922",372,43
QLD,4825,"11,042","11,042","807,378,562","73,119","61,162",278,27
QLD,4828,107,107,"5,473,578","51,155","40,006","1,384",198
QLD,4829,266,266,"13,608,643","51,160","46,166","1,383",197
QLD,4830,552,552,"22,257,618","40,322","33,078","2,431",372
QLD,4849,810,810,"32,854,604","40,561","33,238","2,417",371
QLD,4850,"6,079","6,079","293,278,270","48,244","40,701","1,664",247
QLD,4852,"2,204","2,204","100,110,073","45,422","34,156","1,973",302
QLD,4854,"3,332","3,332","144,886,026","43,483","36,258","2,175",339
QLD,4855,434,434,"18,304,475","42,176","36,645","2,298",357
QLD,4856,391,391,"16,160,164","41,330","36,771","2,365",366
QLD,4858,857,857,"42,074,696","49,095","41,472","1,578",234
QLD,4859,338,338,"15,698,847","46,446","39,186","1,846",284
QLD,4860,"6,043","6,043","260,166,765","43,053","36,765","2,213",343
QLD,4861,798,798,"36,115,244","45,257","38,764","1,995",309
QLD,4865,"4,567","4,567","239,595,028","52,462","45,171","1,261",169
QLD,4868,"11,942","11,942","608,624,669","50,965","44,406","1,403",201
QLD,4869,"10,142","10,142","513,396,138","50,621","45,282","1,439",209
QLD,4870,"43,599","43,599","2,328,384,822","53,405","42,696","1,195",155
QLD,4871,"5,829","5,829","271,205,303","46,527","35,140","1,836",282
QLD,4872,"2,294","2,294","97,506,398","42,505","32,546","2,262",351
QLD,4873,"3,852","3,852","172,635,320","44,817","37,385","2,047",320
QLD,4874,"2,922","2,922","215,367,707","73,706","66,910",270,26
QLD,4875,"2,917","2,917","153,321,053","52,561","44,267","1,252",164
QLD,4876,899,899,"39,398,675","43,825","38,215","2,142",335
QLD,4877,"3,506","3,506","155,476,567","44,346","37,002","2,092",324
QLD,4878,"8,116","8,116","426,385,967","52,536","43,584","1,256",166
QLD,4879,"12,330","12,330","682,444,418","55,348","44,434","1,018",125
QLD,4880,"7,292","7,292","317,451,593","43,534","36,841","2,168",338
QLD,4881,"2,473","2,473","116,669,080","47,177","36,850","1,765",266
QLD,4882,"1,789","1,789","81,998,970","45,835","37,377","1,920",292
QLD,4883,"4,590","4,590","200,443,211","43,670","36,594","2,157",336
QLD,4884,"1,184","1,184","53,542,004","45,221","36,310","1,999",311
QLD,4885,"2,328","2,328","105,073,052","45,134","35,898","2,019",314
QLD,4886,444,444,"17,396,241","39,181","32,156","2,503",388
QLD,4887,922,922,"38,295,102","41,535","33,908","2,351",364
QLD,4888,"1,255","1,255","48,174,622","38,386","30,829","2,534",391
QLD,4890,668,668,"32,755,011","49,034","43,124","1,588",237
QLD,4891,323,323,"15,338,991","47,489","41,014","1,727",260
QLD,4892,"1,235","1,235","50,692,217","41,046","30,743","2,380",367
QLD,4895,"2,072","2,072","94,863,842","45,784","38,560","1,927",293
QLD,9726,253,253,"17,443,390","68,946","37,000",356,40
SA,5000,"7,785","7,785","493,036,055","63,332","42,704",531,33
SA,5001,200,200,"18,149,910","90,750","43,504",102,4
SA,5006,"4,183","4,183","376,855,507","90,092","53,271",106,5
SA,5007,"4,256","4,256","231,588,400","54,415","48,072","1,103",91
SA,5008,"7,094","7,094","341,722,499","48,171","42,246","1,670",184
SA,5009,"2,902","2,902","144,355,484","49,743","43,028","1,519",153
SA,5010,"2,602","2,602","112,535,613","43,250","38,937","2,196",272
SA,5011,"7,125","7,125","367,528,792","51,583","45,113","1,338",124
SA,5012,"5,146","5,146","214,767,289","41,735","36,299","2,329",294
SA,5013,"5,008","5,008","231,389,789","46,204","41,794","1,872",217
SA,5014,"6,570","6,570","324,962,186","49,462","44,446","1,544",155
SA,5015,"3,526","3,526","183,939,627","52,167","46,293","1,288",115
SA,5016,"5,125","5,125","285,630,480","55,733","47,853",985,82
SA,5017,"2,368","2,368","115,084,270","48,600","43,506","1,621",172
SA,5018,"3,526","3,526","193,963,004","55,009","46,128","1,043",85
SA,5019,"5,160","5,160","295,444,352","57,257","46,970",877,67
SA,5020,"1,954","1,954","115,586,853","59,154","46,170",751,55
SA,5021,"3,932","3,932","231,027,249","58,756","44,455",770,57
SA,5022,"9,987","9,987","681,986,552","68,287","49,383",373,22
SA,5023,"8,977","8,977","425,140,210","47,359","41,846","1,743",193
SA,5024,"8,766","8,766","492,774,979","56,214","44,396",958,78
SA,5025,"4,981","4,981","263,259,410","52,853","44,131","1,233",106
SA,5031,"5,739","5,739","302,351,691","52,684","44,256","1,241",107
SA,5032,"7,715","7,715","420,003,122","54,440","43,778","1,098",90
SA,5033,"4,625","4,625","224,359,854","48,510","42,845","1,633",176
SA,5034,"6,530","6,530","467,061,343","71,525","50,752",302,17
SA,5035,"3,720","3,720","202,287,844","54,378","44,279","1,106",93
SA,5037,"6,068","6,068","300,705,774","49,556","42,154","1,534",154
SA,5038,"9,478","9,478","459,331,097","48,463","42,442","1,638",177
SA,5039,"5,093","5,093","263,573,539","51,752","44,432","1,319",120
SA,5040,"1,404","1,404","80,295,633","57,191","41,398",883,70
SA,5041,"8,181","8,181","493,510,231","60,324","47,836",677,48
SA,5042,"5,856","5,856","274,020,398","46,793","39,188","1,808",204
SA,5043,"9,874","9,874","462,445,124","46,835","41,061","1,802",202
SA,5044,"6,854","6,854","441,320,813","64,389","49,500",492,27
SA,5045,"10,400","10,400","669,096,085","64,336","46,686",497,29
SA,5046,"5,134","5,134","255,687,575","49,803","43,224","1,513",151
SA,5047,"4,461","4,461","208,760,758","46,797","40,230","1,807",203
SA,5048,"8,756","8,756","513,562,989","58,653","44,708",779,58
SA,5049,"6,384","6,384","374,249,665","58,623","45,046",781,59
SA,5050,"3,451","3,451","189,382,422","54,878","43,021","1,057",86
SA,5051,"9,162","9,162","546,282,532","59,625","49,187",718,52
SA,5052,"4,148","4,148","255,159,174","61,514","47,822",609,38
SA,5061,"6,587","6,587","618,325,085","93,871","55,421",82,2
SA,5062,"9,776","9,776","728,799,439","74,550","49,529",258,14
SA,5063,"7,603","7,603","519,947,449","68,387","50,591",370,21
SA,5064,"6,512","6,512","518,042,980","79,552","49,380",196,8
SA,5065,"6,585","6,585","509,086,171","77,310","49,195",220,11
